No,명칭,원문,주소,정규화주소,위도(lat),경도(lng),매칭주소,도로명주소,지번주소,네이버지도검색URL,상태,비고,중복여부
1,,경북 문경시 문경읍 각서리 93,경북 문경시 문경읍 각서리 93,경상북도 문경시 문경읍 각서리 93,36.7439350615065,128.076283363207,경북 문경시 문경읍 각서리 93,경북 문경시 문경읍 문경대로 2489,경북 문경시 문경읍 각서리 93,https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EB%AC%B8%EA%B2%BD%EC%8B%9C%20%EB%AC%B8%EA%B2%BD%EC%9D%8D%20%EA%B0%81%EC%84%9C%EB%A6%AC%2093,성공,,
2,,강원 원주시 문막읍 취병리 1130,강원 원주시 문막읍 취병리 1130,강원특별자치도 원주시 문막읍 취병리 1130,37.3040741982096,127.805066751997,강원특별자치도 원주시 문막읍 취병리 1130,,강원특별자치도 원주시 문막읍 취병리 1130,https://map.naver.com/p/search/%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84%20%EC%9B%90%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EB%A7%89%EC%9D%8D%20%EC%B7%A8%EB%B3%91%EB%A6%AC%201130,성공,,
3,,강원특별자치도 원주시 신림면 황둔리 1724-38,강원특별자치도 원주시 신림면 황둔리 1724-38,강원특별자치도 원주시 신림면 황둔리 1724-38,37.2522886882,128.120119073126,강원특별자치도 원주시 신림면 황둔리 1724-38,강원특별자치도 원주시 신림면 신림황둔로 512,강원특별자치도 원주시 신림면 황둔리 1724-38,https://map.naver.com/p/search/%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84%20%EC%9B%90%EC%A3%BC%EC%8B%9C%20%EC%8B%A0%EB%A6%BC%EB%A9%B4%20%ED%99%A9%EB%91%94%EB%A6%AC%201724-38,성공,,
4,,충북 단양군 단양읍 현천리 205-1,충북 단양군 단양읍 현천리 205-1,충청북도 단양군 단양읍 현천리 205-1,36.9419831788841,128.329699722059,충북 단양군 단양읍 현천리 205-1,충북 단양군 단양읍 단양로 497,충북 단양군 단양읍 현천리 205-1,https://map.naver.com/p/search/%EC%B6%A9%EC%B2%AD%EB%B6%81%EB%8F%84%20%EB%8B%A8%EC%96%91%EA%B5%B0%20%EB%8B%A8%EC%96%91%EC%9D%8D%20%ED%98%84%EC%B2%9C%EB%A6%AC%20205-1,성공,,
5,북이과적차량검문소,북이과적차량검문소 : 충북 청주시 청원구 북이면 신대리 3,충북 청주시 청원구 북이면 신대리 3,충청북도 청주시 청원구 북이면 신대리 3,36.7395432592584,127.542751182484,충북 청주시 청원구 북이면 신대리 3,,충북 청주시 청원구 북이면 신대리 3,https://map.naver.com/p/search/%EC%B6%A9%EC%B2%AD%EB%B6%81%EB%8F%84%20%EC%B2%AD%EC%A3%BC%EC%8B%9C%20%EC%B2%AD%EC%9B%90%EA%B5%AC%20%EB%B6%81%EC%9D%B4%EB%A9%B4%20%EC%8B%A0%EB%8C%80%EB%A6%AC%203,성공,,
6,,충북 충주시 동량면 용교리 457-4,충북 충주시 동량면 용교리 457-4,충청북도 충주시 동량면 용교리 457-4,37.0276096641909,127.923384644799,충북 충주시 동량면 용교리 457-4,,충북 충주시 동량면 용교리 457-4,https://map.naver.com/p/search/%EC%B6%A9%EC%B2%AD%EB%B6%81%EB%8F%84%20%EC%B6%A9%EC%A3%BC%EC%8B%9C%20%EB%8F%99%EB%9F%89%EB%A9%B4%20%EC%9A%A9%EA%B5%90%EB%A6%AC%20457-4,성공,,
7,,충남 아산시 인주면 공세리 605-2,충남 아산시 인주면 공세리 605-2,충청남도 아산시 인주면 공세리 605-2,36.8885240309536,126.912585004909,충남 아산시 인주면 공세리 605-2,충남 아산시 인주면 서해로 775,충남 아산시 인주면 공세리 605-2,https://map.naver.com/p/search/%EC%B6%A9%EC%B2%AD%EB%82%A8%EB%8F%84%20%EC%95%84%EC%82%B0%EC%8B%9C%20%EC%9D%B8%EC%A3%BC%EB%A9%B4%20%EA%B3%B5%EC%84%B8%EB%A6%AC%20605-2,성공,,
8,,경북 포항시 북구 송라면 화진리 559-2,경북 포항시 북구 송라면 화진리 559-2,경상북도 포항시 북구 송라면 화진리 559-2,36.2469722474089,129.369601348594,경북 포항시 북구 송라면 화진리 559-2,,경북 포항시 북구 송라면 화진리 559-2,https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%ED%8F%AC%ED%95%AD%EC%8B%9C%20%EB%B6%81%EA%B5%AC%20%EC%86%A1%EB%9D%BC%EB%A9%B4%20%ED%99%94%EC%A7%84%EB%A6%AC%20559-2,성공,,
9,,인천 서구 검암동 436-15,인천 서구 검암동 436-15,인천광역시 서구 검암동 436-15,37.5689746581699,126.658534264227,인천 서구 검암동 436-15,인천 서구 인천국제공항고속도로 24,인천 서구 검암동 436-15,https://map.naver.com/p/search/%EC%9D%B8%EC%B2%9C%EA%B4%91%EC%97%AD%EC%8B%9C%20%EC%84%9C%EA%B5%AC%20%EA%B2%80%EC%95%94%EB%8F%99%20436-15,성공,,
10,,경기 남양주시 와부읍 도곡리 산194-13,경기 남양주시 와부읍 도곡리 산194-13,경기도 남양주시 와부읍 도곡리 산194-13,37.5643964461017,127.2304692979,경기 남양주시 와부읍 도곡리 산 194-13,경기 남양주시 와부읍 경강로 808,경기 남양주시 와부읍 도곡리 산 194-13,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%82%A8%EC%96%91%EC%A3%BC%EC%8B%9C%20%EC%99%80%EB%B6%80%EC%9D%8D%20%EB%8F%84%EA%B3%A1%EB%A6%AC%20%EC%82%B0194-13,성공,,
