개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,데이터갱신시점,도로명주소,사무소전화번호,사업장전화번호,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3020000,2001302007406500001,1977-02-07,폐업,2018-09-04,,,,,,경성기업,I,2025-12-15 16:15:28,,02-713-7700,,폐업,03,03,027137700,,,서울특별시 용산구 문배동 11번지 6호,2018-09-04 17:13:04
3020000,2001302007406500008,2001-03-17,폐업,2018-09-04,,,,,,코라스계측기,I,2025-12-15 16:15:28,서울특별시 용산구 새창로14길 17 (용문동),02-716-8112,,폐업,03,03,027168112,196296.919923838    ,448499.656319385    ,서울특별시 용산구 용문동 35번지 5호,2018-09-04 17:17:29
3020000,2001302007406500007,1999-09-14,폐업,2018-09-04,,,,,,(주)카스,I,2025-12-15 16:15:28,,02-431-8331,,폐업,03,03,024318331,200680.483620023    ,447729.584081599    ,서울특별시 용산구 한남동 167번지 1   호,2018-09-04 17:16:52
3020000,2001302007406500002,1989-06-02,폐업,2018-09-04,,,,,,산다컴퓨터계량증명업,I,2025-12-15 16:15:28,,02-712-5753,,폐업,03,03,027125753,,,서울특별시 용산구 청암동 84번지 3호,2018-09-04 17:14:17
3020000,2001302007406500004,1994-03-25,폐업,2018-09-04,,,,,,(주)세방후코스,I,2025-12-15 16:15:28,,02-749-6561,,폐업,03,03,027496561,,,서울특별시 용산구 한강로2가 63번지 102호,2018-09-04 17:15:31
3020000,2001302007406500006,1999-02-04,폐업,2013-04-04,,,,,,(주)카스콤,I,2025-12-15 16:15:28,,02-749-1811,,폐업,03,03,027491811,,,서울특별시 용산구 한강로3가 320번지 2호,2017-03-29 17:02:08
3030000,1992303007406500001,1992-01-21,폐업,2012-02-07,,,,,,제일계량증명업소,I,2026-03-26 22:53:26,서울특별시 성동구 성수이로 65 (성수동2가),02-466-7061,,폐업,03,03,024667061,204835.535359114    ,448752.95835214     ,서울특별시 성동구 성수동2가 309번지 148 호,2012-02-10 09:06:00
3030000,2003303007406500001,2003-05-12,제외/삭제/전출,,,,,,,(주)대성메카트론,I,2026-03-26 22:53:26,서울특별시 성동구 아차산로11길 28 (성수동2가),02-498-0103,,타시군구이관,04,05,024980103,205267.454367768    ,449297.416097579    ,서울특별시 성동구 성수동2가 278번지 31호,2011-07-28 13:14:23
3030000,2007303010306500001,2007-07-31,영업/정상,,,,,133-110,,경마금속쓰리알(주),I,2026-03-26 22:53:26,서울특별시 성동구 성수일로 18 (성수동1가),,,영업중,01,01,,204264.364865615    ,448862.100161815    ,서울특별시 성동구 성수동1가 72번지 1호,2012-02-01 09:30:04
3030000,2003303007406500002,2003-05-12,영업/정상,,,,,,,한영계량증명업,I,2026-03-26 22:53:26,서울특별시 성동구 연무장길 78 (성수동2가),02-492-1433,,영업중,01,01,024921433,,,서울특별시 성동구 성수동2가 322번지,2012-02-07 10:48:28
